what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329497181336
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329497181471
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1329497182419
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1329497182700
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1329497185305
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329497185850
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329497186555
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1329497188333
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329497189006
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329497189290
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329497191139
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329497209170
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1329497212505
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329497220259
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329497249827
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329497257285
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1329497265939
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329497273744
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329497284699
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1329497298697
opened,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1329497300183
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1329497300261
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1329497300445
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329497300464
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329497301445
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329497305557
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1329497308383
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1329497309790
executed,command,org.eclipse.wst.sse.ui,1.3.1.v201108191312,"org.eclipse.wst.sse.ui.format.document",1329497310182
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329497311612
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329497317283
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329497317926
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329497318582
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329497325293
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1329497326961
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329497328544
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329497330038
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329497330369
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329497330481
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1329497331430
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1329497331774
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1329497333863
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329497334569
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329497335262
